Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in the city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. ,What is the area code of your phone number? ,What pet(s) did you have as a child?,"If you had to have one superpower, what would if be?",How many different pairs of shoes have you worn in the last week?
1/16/2023 20:54:49,Hozier,"5' 8""","Amsterdam, Netherlands",My grandpa,"Tokyo, Japan",5.0,pizza,Volleyball,hors d'oeuvre,3,More,,"Let July be July. Let August be August. And let yourself just be, even in the uncertainty.",708,A dog,Shapeshifting,4
1/16/2023 22:01:37,LiSA,183 Centimeters,Detroit,Jeffery Epstein,Turkey,1.0,no opinion,"None, they are all garbage. ",hors d'oeuvre,1,Less,1984,"""People die when they are killed""",I don't know.,,Cunny Annihilator ,1
1/17/2023 0:58:40,Anderson Paak,5'8,New York City,Barbara Streisand,Paris,5.0,pizza,Basketball,hors d'oeuvre,8,More,Woodstock 1969 ,"Every story I create, creates me. I write to create myself. ",773,Two pet rats named Peanut and Ruby,Time Travel,8
1/17/2023 11:51:44,sza,5'8,"tampa, florida",my grandfather,hawaii,5.0,casserole,iceskating,daiquiri,4,Less,3024,“Do what you feel in your heart to be right―for you’ll be criticized anyway.” ―Eleanor Roosevelt,865,"fish, dog, hamster, guinea pigs",power to teleport,two
1/17/2023 12:31:44,Slacks,6’0,Phoenix,Dan Carlin,The Moon,5.0,pizza,Tennis,hors d'oeuvre,Depends on my mood,Less,2050,“Your subscription to AbrahamLincolnquotes.com has expired” - Abraham Lincoln,309,A pug named Lightning and a leopard gecko named Leo,A perfect immune system,One
1/17/2023 14:42:34,Miyagi (Ukrainian rap),6'3,"Lviv (City in Ukraine), Seattle",My dead grandpa,Ukraine,5.0,pizza,Soccer,lieutenant,4,More,2018,"If you have a dream to chase, nothing can stop you!",-,Dog,Teleportation,4
1/17/2023 15:56:27,Kendrick Lamar ,5'10,Vancouver BC,My Aunty ,Somewhere in Africa or Caribbean ,5.0,no opinion,Basketball,hors d'oeuvre,1-2,Less,7000,I am not my body I am my soul.,504,I had a cat ,time travel,2
1/17/2023 18:24:51,Amy Winehouse,"5'10""",Boston,Julia Child,"Jellyfish Lake, Palau",4.0,no opinion,Basketball,daiquiri,5,More,2011,The sun will come out tomorrow.,910,"Dog, cat, hamster, gerbil",Mind control,2
1/17/2023 19:18:40,Muse,6'4,Orlando,Kurt Cobain,Italy,5.0,pizza,Football,daiquiri,4,Less,1980,Everyone has to start somewhere,630,Have a dog since 3rd grade (border collie),flying,1
8/25/2023 12:56:53,Lil Peep,6 feet,Bellevue Washington,Joe Bastianich,Japan,5.0,pizza,Swimming,liasion,3 other people,Less,I would go back to whatever year pirates were the most prevalent so I could become the next Jack Sparrow ,How can the sky be the limit when there are footprints on the moon,309,"A cat and 2 dogs, now I have a cat and a dog",Time manipulation,2
8/27/2023 21:14:48,none,I'm ok with 5'8 but wouldn't hurt to be like 6 feet,Velocity,Myself when I am older,I'd take my family to Japan because it was very cool when I went,3.0,pizza,none honestly,hors d'oeuvre,1-3,Less,I would see how we manage to blow up civilization in the future,literally any time I'm watching a show or movie and a character says something that I want to integrate into my own internal inspiration..,615,some fish and recently cats,read minds,"3, counting slides"
8/29/2023 11:35:00,Fiona Apple,5'9,Cork,Leonard Cohen,France,4.0,pizza,soccer,lieutenant,2-3,Less,2017,"the poem ""Wild Geese"" by Mary Oliver is sort of inspirational to me",217,I had two fish and eventually two cats and dogs,invisibility,3
8/29/2023 16:31:18,My favorite artist is Thomas Rhett. ,"5'9""","I would live in Knoxville, Tennessee. ",I would talk to Queen Elizabeth II.  ,I would go to Iceland. ,5.0,pizza,I enjoy watching softball the most. ,hors d'oeuvre,4 to 5. ,More,I would visit the year 1985 to see how far technology has came. ,"If at first you don't succeed, try, try, try, again. -William Edward Hickson",815,"I had a dog, fish, and a few snails as a child. ",I would want the power to teleport. ,4
8/29/2023 20:35:41,Zach Bryan ,"5'7""",London,Mark Cuban ,Galapagos,4.0,pizza,Softball,hors d'oeuvre,5,More,1920,"Whether you think you can or can't do it, you're right. ",847,Dog ,To be invisible ,8
8/29/2023 23:09:25,Juice Wrld,6'3,,Jesus,Japan,4.0,pizza,,liasion,1,More,3050,The only preventative measure one can take is to live irregularly,513,"Cat named Lucy, couple fish, and Dog named Butter",Time manipulation ,3-4
8/30/2023 10:56:13,Daniel Caesar ,5'3,New York,My grandpa ,Maldeves,4.0,pizza,Soccer,lieutenant,2-4,More,1995,"Do what you can, with what you have ",224,I have 4 dogs,The ability to fly,6
8/30/2023 14:14:10,Polo G ,"6""5'",San Francisco ,My Mom ,Singapore ,5.0,casserole,I don't watch sports,lieutenant,3 or 4,More,2100,"I am not what happen to me, I am who I've chose to become.",312,"I had a few dogs, fish, and a turtle. ",Invisibility ,5
8/30/2023 14:25:25,Cage the Elephant ,5'10,New York City ,Sidney Crosby,Swiss Alps ,4.0,no opinion,Ice Hockey,lieutenant,3,Less,2018,Nothing that is worth it in life is easy.,309,1 dog,Invincibility ,3
8/30/2023 14:25:28,Kanye,6'2,Charlotte North Carolina,Jake Gyllenhaal,Switzeland,5.0,no opinion,Football,hors d'oeuvre,3-5,More,1923 (Yankees first World Series win),"Dreams, without Goals, are just dreams - Denzel Washington",630,,Invisibility,4
8/30/2023 14:26:32,Luke Combs,6 food 2 inches,Breckendridge,Lionel Messi,The Bahamas ,5.0,no opinion,American Football,hors d'oeuvre,5,Less,1847,"""Things work out best for those who make the best of how things work out"" - John Wooden",612,I had one dog named Auggie,Invisibility,2
8/30/2023 14:29:29,Baby Keem,5'5 ,either Vancouver or Tokyo ,Tennesse Williams (he was a midwestern 'closeted' gay playwright in the 40s-60s in New York with a drug problem..must have some stories),Morocco ,5.0,no opinion,Soccer,hors d'oeuvre,2,More,2011,never trust a blueberry - tim from about time ,3?,Cats and dogs,Teleportation ,two
8/30/2023 14:30:02,Frank Ocean,My Current Height 6'2 probably,Amsterdam,,Japan or anywhere in northern europe/scandanavia,3.0,pizza,Basketball,hors d'oeuvre,1,Less,2100,,847,I had a german shepherd(retired police dog) named Lucky and i also had a fish for a day,Mind reading,3
8/30/2023 14:30:05,K-Pop band BTS,5'5 at least,NYC,I would pick my best friend who lives two hours away from me,I would really like to visit South Korea,5.0,pizza,Tennis or swimming,hors d'oeuvre,2 (so nobody is left out),Less,I would want to see what my future is like  so 2050 or something,There is no shortcut to success,309,Fish,Be able to read minds,Probably 2-3 (I repeat shoes a lot)
8/30/2023 14:36:38,Kanye West,6'0,Dubai,My Father,cyprus,4.0,pizza,Golf,hors d'oeuvre,6,More,1946,"Then I heard the voice of the Lord saying, ""Whom shall I send? And who will go for us?"" And I said, ""Here am I. Send me!""",312,none,Super speed,12
8/30/2023 14:37:33,Lana Del Rey💪,5 '10 💪💪💪💪,Milwaukee I think that's the best option,Robin Williams,Greece ,3.0,pizza,Baseball. yes it is fun to watch. go cubs,accommodate,5,More,1996 I would love to see Jordan Rodman and Pippen play ,,847,I have a lizard and a really strange dog,Telekinesis ,6
8/30/2023 14:38:53,Lil baby,"7'2""",Chicago,Tiger Woods,Scotland,4.0,pizza,Football,daiquiri,3,Less,1914,Im him,708,,Invisability,5
8/30/2023 14:39:03,Hard to pick one,6'3,Dallas,JFK,Madrid Spain,5.0,casserole,Football,lieutenant,4,More,1947,"Both the person that say ""I can"" and ""I can't"" are right",224,,Laser eyes,3
8/30/2023 14:41:51,imagine dragons,"5'10""",Denver,no clue,"Somewhere in Japan, I don't have a specific location in mind though",4.0,no opinion,"I don't enjoy watching sports much in general, I'd rather be playing",hors d'oeuvre,3 (so a group of 4 including yourself),More,no clue,“Only the paranoid survive.” —Andy Grove,630,"I've had bearded dragons, a hedgehog, and spiders (my family is weird...)",mind reading,3
8/30/2023 14:44:40,50 Cent,I am okay with my height now ,Dubai,Mark Cuban,Maldives ,5.0,pizza,Football,hors d'oeuvre,5,Less,2007,One day or Day one ,309,Dog and Cat,Time Manipulation ,2
8/30/2023 14:47:35,I'm in a 90s rap phase right now ,I'm happy with my current height ,Seattle WA ,Mike Tyson,Tokyo or Santorini ,4.0,no opinion,Lacrosse,daiquiri,4,More,Whatever year the airplane came out ,Keep on keepin on  ,614 (Columbus OH),2 guinea pigs but only for a couple months ,Teleportation ,2
8/30/2023 14:49:32,bts ,5.7,dubai,mum ,italy,3.0,pizza,golf,lieutenant,3-4,More,2015,genius people also human ,213,cat ,fly ,6
8/30/2023 21:32:20,Davido- Nigerian Afrobeat Singer,5'7,Lagos city,My Mum,Nigeria,3.0,casserole,Basketball,hors d'oeuvre,10,Less,2019,You Only live Once,i do not know ,no pets,the ability to read minds,6
8/31/2023 14:42:26,One direction,"5'10""","Zurich, Switzerland",Jesus,Maldives or Italy,5.0,no opinion,Volleyball,hors d'oeuvre,3,More,"I would visit a future year, I am not a huge history person so I would like to look forward maybe 200 or so years when I know I won't be around, to see how technology and what we are doing now turns out","""Your time is limited, don't waste it living someone else's life."" - Steve Jobs",309,a dog,Mind reading,6
8/31/2023 23:08:44,Zach Bryan,5’7”,Santorini ,Elvis,Greece,4.0,casserole,Football,hors d'oeuvre,4,More,1974,"No rain, no flowers.",309,I had and still have a dog. His name is Shea,Flying,4
9/1/2023 12:18:22,three doors down,6'5,somewhere on a coast ,Victor Cruz my childhood hero,Maldives for scuba diving,5.0,pizza,Football,daiquiri,"depends on the situation, with family as many as possible, with friends 4, with a girl 1",Less,33 CE,"""Do not go gentle into that good night""","309, but really grew up in 217 area ","I had three different dogs, snakes, and fish",time travel ,3
9/1/2023 13:59:39,Pearl Jam,"6'4""",Madison,Jesus,Bahamas,4.0,no opinion,football,lieutenant,3,Less,1334,"""Fuck..."" - Steve Jobs",563,dog,telepathy,2
1/11/2024 18:55:49,Eddie Higgins,1.76 meters,Copenhagen,JFK,Singapore,5.0,no opinion,FPS Esports ,hors d'oeuvre,1,Less,2008,濯俗尘以守清心兮，望浊夜昭晴光。,,a fancy rat,Being able to instantly copy every single book to my head in my sight.,3
1/11/2024 21:53:52,Zach Bryan ,"5'5""",Vancouver,Jennifer Lawrence,Brazil,4.0,pizza,Basketball and volleyball,hors d'oeuvre,Group of 4,More,1980,Everything happens for a reason,309,Dogs and fish,Teleportation,4
1/11/2024 22:21:13,My favorite music artist is A boogie wit da hoodie ,I'm fine with the height I am right now but if I had to change it I would be 6'3 ,I would live in Orlando Florida ,I would pick to talk to my Grandma ,I would travel to Miami for vacation ,5.0,pizza,I enjoy watching basketball the most,liasion,The optimal number of people to hang out with is 3,Less,I would vist 2028,"My favorite inspirational quote says ""And one has to understand that braveness is not the absence of fear but rather the strength to keep going forward despite the fear"" ",773,I didn't have pets as a child,If I could have one superpower it would be super speed,3
1/12/2024 10:26:04,Kanye,6',New York,Tesla,Swiss Alps,5.0,casserole,Basketball,lieutenant,6,More,2018,"""Success is not final, failure is not fatal, it is the courage to continue that counts""",309,1 dog and 2 cats,Omnipotence,4
1/12/2024 10:33:40,Tiesto,"6'3""",Tokyo,Alexander the Great,Japan,3.0,no opinion,Hockey,hors d'oeuvre,5,Less,2050,"""If you're afraid to fail, you're probably going to fail."" - Kobe Bryant",217,A dog,Invisibility,3
1/12/2024 10:38:07,Eric Church,6'0,Boston,Jesus,Italy,5.0,pizza,Hockey,hors d'oeuvre,5,Less,1986,Nothing is given everything is earned.,773,2 dogs,Flying,5
1/12/2024 10:42:49,drake,185,NY,granddad,fiji,3.0,casserole,soccer,liasion,3,Less,800-500 BCE,Go hard or go home,347,"cats, dogs",time traveling,4
1/12/2024 10:43:29,U2,6 foot,London,Lionel Messi,"Mykonos, Greece",4.0,pizza,Soccer,hors d'oeuvre,4,More,1995,"""Great moments are born from great opportunity""",847,a cat,teleportation,4
1/12/2024 10:46:26,Lil Mosey,"6'6""",Athens,Abe Lincoln ,hawaii,3.0,no opinion,Basketball,hors d'oeuvre,3,Less,2050 (no reason just named a random year),"""Nobody hates the good ones. They hate the great ones."" - Kobe Bryant",309,"6 rats and a black lab, coonhound mix",flight,2
1/12/2024 10:46:27,Zach Bryan or Riley Green,6 foot 3,Pittsburgh,My grandpa,Augusta Georgia or Scotland,5.0,pizza,Football,hors d'oeuvre,4,More,1996,"""The standard is the standard"" Mike Tomlin",630,,Flying,6
1/12/2024 10:47:19,Zach Bryan,6'8,Miami,Ghengis Khan,Australia,4.0,pizza,Football,hors d'oeuvre,4,Less,1960,"“Whether you think you can or you think you can't, you're right.""",314,Dog,Ability to fly,4
1/12/2024 10:49:10,Zach Bryan ,6'6,Nashville,My brother,Patagonia ,,pizza,College Basketball,lieutenant,5,Less,1996,"Who's got it better than us,  NO ONE!  Coach Harbaugh ",815,4 dogs and 1 cat,Teleportation ,4 to 6 
1/12/2024 10:49:52,changes constantly but currently Fiona Apple,"6'11""",Edinburgh ,Joan of Arc,Rome,5.0,pizza,Soccer,hors d'oeuvre,4 (5 if you include me),More,"0, I wanna see baby Jesus get borned","""Despite everything, it's still you.""",815,"Grew up with a dog and a cat, and now I have 3 cats. ",Shapeshifting (the coolest one),3
1/12/2024 10:49:57,morgan wallen,6'1,chicago,jesus,hawaii,4.0,pizza,football,daiquiri,3-5,Less,3000,"margaret mead: ""never doubt that a small group of thoughtful, committed citizens can change the world; indeed, it's the only thing that ever has.""",847,fish and dog,spider man senses/wall crawl,5
1/12/2024 10:51:08,Morgan Wallen,6'5,Chicago,Mark Whalburg,Hawaii,5.0,pizza,Football,hors d'oeuvre,4,Less,1925,"""Dreams dont work unless you do"" - John C Maxwell",708,A fish,Super speed,Three
1/12/2024 11:11:35,Chase Atlantic band,I am ok with my height (5'3),Medina ,Me as a teenager ,Scotland ,2.0,casserole,Figure skating ,lieutenant,1,Less,18th century ,"So, surely with hardship comes ease.",-347,2 dogs,Flying,2
1/12/2024 13:11:24,Dua Lipa,"6'4""",Milan,Some very old family member (like 6-8 generations back),Australia/Whoever is hosting Eurovision,5.0,pizza,Volleyball,hors d'oeuvre,4-6,More,The year before Apple/Google/Microsoft went public,Learn to love and love to learn,815,"Pug, Guinea Pig, Fish",Mind Control/Reading,3
1/12/2024 13:15:17,Harry Styles,"5'10""","Copenhagen, Denmark",Warren Buffett,Spain,5.0,pizza,Basketball,hors d'oeuvre,5,Less,3000,Only you can decide what breaks you,217,Two dogs (Pookie and Jester) and some fish,telepathy and telekinesis ,5
1/12/2024 13:15:20,Taylor Swift,"5'5""",Chicago,Taylor Swift,Paris,3.0,pizza,basketball,hors d'oeuvre,5,More,2017,"Don't worry darling, I have everything under control -Scarlet Witch",217,a dog,invisibility,5
1/12/2024 13:16:14,Taylor Swift,6'0,London,My Great-Grandpa,Sweden,4.0,no opinion,American Football,hors d'oeuvre,3,More,2035,You are enough as you are.,815,Dog,The power to change matter at will,2
1/12/2024 13:16:44,Bon Jovi,6'2,Dallas,Novak Djokovic,"Estes Park, Colorado",4.0,pizza,Tennis,hors d'oeuvre,1,Less,2004,"The proper function of man is to live, not to exist. I will not waste my days in trying to prolong them. I shall use my time. - Jack London",217,Dog,Super speed,3
1/12/2024 13:21:20,Tate Mcrae,"I would like to be what I am now, 5'7""",I love Chicago so I would just live in Chicago,I would talk to my dad,"I would go to Mexico, El Salvador, or Japan",5.0,no opinion,"I don't really watch sports, but I have been competing in taekwondo for 12 1/2 years, so if I do watch any type of sport it is typically UFC",hors d'oeuvre,6-7,Less,the 1940s,Ser amable es importante (To be kind is important),773,I have had 3 cats and 2 dogs,I would have super speed,5 different pairs
1/12/2024 13:29:19,P!NK,5'7,"Venice, Italy",My Grandpa,"Tokyo, Japan",5.0,casserole,Volleyball,daiquiri,4,More,2019,"""Sometimes I’ll start a sentence and I don’t even know where it’s going. I just hope I find it along the way.” -Michael Scott",708,"I had several fish, a hamster, and two dachshunds.",Teleportation,3
1/12/2024 13:50:03,Drake,"6'3""",Dallas,Derek Jeter,Greece,4.0,pizza,Football,hors d'oeuvre,5,Less,1998,Its hard to beat a person that never gives up,309,Cat and dog,See the future,6
1/12/2024 13:50:15,Drake,6'5,Chicago,Michael Jordan,Bora Bora,3.0,pizza,Basketball/Football,hors d'oeuvre,As many as possible,Less,Before COVID,"""If you want to look good in front of thousands, you have to outwork thousands in front of nobody""",708,A dog,Super Speed,3
1/12/2024 20:38:23,Benjamin William Hastings,"5'7""",Dubai,Jesus ,Iceland,4.0,pizza,Basketball,hors d'oeuvre,2,More,1980,Worrying does not add a single hour to your life.,618,1 Dog and 1 Cat,Teleport,5
1/13/2024 15:03:00,Morgan Wallen,"6'1""",Chicago,Franklin D. Roosevelt,Italy,5.0,pizza,Football,hors d'oeuvre,4 (Including Yourself),More,2015,"""Soon you will get the recognition you deserve"".",224,Dog,Time Travel,7
1/13/2024 21:30:41,Kanye West or The Beatles,5'4,Probably Chicago,Freddie Mercury or Kobe Bryant,Maybe the Bahamas,5.0,pizza,Basketball or Football,hors d'oeuvre,2 or 3,More,1984,Something along the lines of how true winners need to continuously fail and learn from their mistakes in order to actually succeed.,312 - Chicago,A dog,Super Speed or Telekinesis ,2
1/14/2024 16:09:53,Morgan Wallen,"6'3"" (My Height)",Nashville,Tiger Woods,"Munich, Germany",5.0,pizza,Football and Golf,daiquiri,7,More,2005,"""Never be comfortable with just good enough."" -Ray Lewis",847,Two Dogs,Invisibility,5
1/14/2024 18:23:32,Mac DeMarco,6'2 and 1/2,Chicago,Abraham Lincoln,Norway,5.0,pizza,football,hors d'oeuvre,4,Less,1896,There are no limits except the ones you place on yourself,708,"dogs, fish, ",flight,5
1/14/2024 19:31:43,my favorite music artist is Lil Durk,6'7 ,"Clear Water Beach, FL",Jesus Christ,Germany,2.0,pizza,Football,hors d'oeuvre,2-6,Less,I would visit the year 1922 to see what the roaring 20's were like,Every saint had a past and every sinner has a future,630,Black Lab,I would like the ability of spider-man,5
1/15/2024 14:12:56,"I can’t answer this with one artist, but I enjoy the genres of rock, psychedelic rock, and any trance kind of beats",6’,"I would never live in a big city, but if I was forced to choose, maybe Seattle.",Dwight Eisenhower,Sawtooth national forest. In autumn,3.0,pizza,Powerlifting,hors d'oeuvre,2 others,Less,"I don’t care to go backwards, but I would take a shot in the dark and check out the year 2500, just to see what we’ve got going on as a species, or If we made it that far at all.","“I command you to grow. You must grow. I tell you what to do, you don’t tell me.”  -CT Fletcher, as he yells at his own bicep mid set

I know it’s a bit ridiculous but honestly that kind of discipline goes a long way with anything mental or physical. Don’t ever let yourself settle for low effort when you’re capable of better.",858 San Diego,"Goldfish, Dog",To fly,2
1/15/2024 16:05:38,The Foo Fighters,6’1”,Chicago,Mac Miller,Australia,5.0,pizza,Olympic sports ,hors d'oeuvre,2,More,2016,Being bad at something is the first step at being kinda good at something ,708,"Dogs, cats, bunnies, Guinea pig, horse ",Super strength ,4
1/15/2024 17:44:42,Arijit Singh,6 feet,"Bergen, Norway",Prophet Muhammad (SA),Norway,4.0,pizza,UFC,lieutenant,4,Less,2028,"""I never lose, either I win or I learn.""",917,,Being invisible,4
1/15/2024 19:10:42,Ice cube,6’5,Chicago,Jay Cutler,The Bermuda Triangle ,5.0,pizza,Football,hors d'oeuvre,"Depends on the event, but 3",More,1985,“Get rich or die trying” - 50 cent,309,2 dogs 1 cat,The ability to make the Chicago bears good ,4
1/15/2024 19:26:27,Zach Bryan,6 ft 4 in,Austin Texas,Joe Rogan,Dubai,4.0,pizza,Football,hors d'oeuvre,3,Less,2150,"""The only limit to our realization of tomorrow will be our doubts today.""
— Franklin Delano Roosevelt",618,Dogs,Time Travel,Four
1/15/2024 19:35:12,alice in chains or asap rocky,6'3,Boston,Kobe Bryant,"Zermott, Switzerland",4.0,pizza,Hocket,hors d'oeuvre,4,More,70s,Engage in combat fully determined to die and you will be alive; wish to survive in the battle and you will surely meet death.,847,"hermit crabs, two dogs",teleport,5
1/15/2024 21:15:28,No one specific,5’6,"Sydney, Australia",No one,South Korea,3.0,no opinion,Soccer,hors d'oeuvre,Around 2,Less,2012,"“To live is to live, and to die is to die”",+1,Dogs,Invisibility,1
1/15/2024 21:24:42,Noah Kahan ,6'1,Dublin,My grandma,Greece,5.0,pizza,gymnastics,lieutenant,4,More,2012,"""Get busy living or get busy dying.""",309,dogs and a cat,telepathy ,4
1/15/2024 23:01:07,Chris Stapleton,6'4,Nashville,JFK,Japan,5.0,pizza,NFL Football,hors d'oeuvre,4,Less,1985 Chicago,The magic you're looking for is buried in the work you're avoiding.,815,Hamsters (Juan and Herbert),Ability to learn things very fast (Super Intelligence) (if that counts),5
1/16/2024 2:03:16,post malone,6'1,chicago,aysha,greece,5.0,no opinion,basketball,liasion,2,Less,1938,"your biggest enemy is the man in the mirror - nicholas ""jynxi"" stewart",309,dogs,telekinesis,three
1/16/2024 9:53:57,Zach Bryan,6'5,Las Vegas,Jesus Christ,Fiji,4.0,pizza,UFC,hors d'oeuvre,5,More,0,"""You miss 100% of the shots you don't take"" - Wayne Gretzky",773,A fish,Ability to fly,2
1/16/2024 10:52:13,Flatland Cavalry,6'5,Nashville,Chris Hemsworth,Switzerland,4.0,no opinion,Basketball,hors d'oeuvre,4,Less,70s,Do or do not. There is no try.- Yoda,720,"Dogs, cats, fish, frogs",Super Speed,2
1/16/2024 11:09:33,Eslabon Armado,6ft,New York,Francis of Assisi,Florence Italy,5.0,pizza,Soccer,daiquiri,5,Less,1215,"Do today what others won't, so tomorrow you can do what others can't",309,Dog,Super strenght,6
1/16/2024 12:43:09,Bruno Mars,"5'6""",Florence,Walt Disney,Italy,5.0,pizza,Gymnastics,daiquiri,5,More,1776,The way to get started is to quit talking and start doing.,309,Cats,Flying,3
1/16/2024 18:41:41,Luke Combs,6,Miami,Grandpa ,Dubai ,5.0,pizza,Football and Lacrosse ,hors d'oeuvre,3,More,2010,""" I'll remember this"" by my grandpa who passed away ",+1,"Fish, Dog ",Super speed,3
1/16/2024 20:12:12,Drake,6'5,Miami,Jesus,Dubai,5.0,pizza,Football,hors d'oeuvre,3,More,1922,"""Don't sit down and wait for the opportunities to come. Get up and make them""",815,"Dog, Fish",Invisibility,4
1/16/2024 20:12:52,Blink 182,6 ft 5 in,London ,Mathew McConaughey ,Italy ,5.0,pizza,Football ,hors d'oeuvre,4,Less,1990,The bad news is that time flies. The good news is you're the pilot. ,,2 dogs ,super speed ,3
1/17/2024 10:03:17,"Dont really have one, I just listen to random songs I like","5'8""",NYC,Albert Einstein ,The Large Hadron Collider,5.0,pizza,,hors d'oeuvre,2,Less,As early as Human History would allow,"Yesterday is history, tomorrow is a mystery, but today is a gift, that is why we call it the present ",309,"Cats, Dogs, Guinea Pigs, Green Anoles ",Probability Manipulation,2
1/19/2024 13:02:08,YoungBoy Never Broke Again,6'3,Miami,My grandmother,Bora Bora,3.0,no opinion,Basketball,hors d'oeuvre,4,Less,1989,"""I've failed over and over and over again in my life and that is why I succeed"". -Michael Jordan",618, 2 dogs,Teleportation,3
3/1/2024 9:23:53,Your Mom,"6' 4""",Philly or NYC,,Bloomington Normal,5.0,pizza,Basketball,lieutenant,3,More,1996,,309,Cat,Fix all websites just by looking at them,5
3/1/2024 21:27:03,Aurora,Average,"Ann Arbor, MI",Cleopatra,Japan,5.0,pizza,Ice Dancing,hors d'oeuvre,2,Less,1985,Fear is the mind killer,309,,telepathy,2
